Date,Users,Engagement,Total Chat Sessions,Leads
01 Dec 2024,0,0,0,0
02 Dec 2024,5,0,0,0
03 Dec 2024,9,0,0,0
04 Dec 2024,5,0,0,0
05 Dec 2024,0,0,0,0
06 Dec 2024,4,0,0,0
07 Dec 2024,1,0,0,0
08 Dec 2024,12,0,0,0
09 Dec 2024,3,0,0,0
10 Dec 2024,0,0,0,0
11 Dec 2024,8,0,0,0
12 Dec 2024,3,1,1,0
13 Dec 2024,7,0,0,0
14 Dec 2024,3,0,0,0
15 Dec 2024,2,0,0,0
16 Dec 2024,3,0,0,0
17 Dec 2024,2,0,0,0
18 Dec 2024,5,0,0,0
19 Dec 2024,3,0,0,0
20 Dec 2024,5,0,0,0
21 Dec 2024,3,0,0,0
22 Dec 2024,2,0,0,0
23 Dec 2024,3,0,0,0
24 Dec 2024,4,0,0,0
25 Dec 2024,2,0,0,0
26 Dec 2024,2,0,0,0
27 Dec 2024,1,0,0,0
28 Dec 2024,2,0,0,0
29 Dec 2024,4,0,0,0
30 Dec 2024,5,0,0,0
31 Dec 2024,2,0,0,0
01 Jan 2025,6,0,0,0
02 Jan 2025,2,0,0,0
03 Jan 2025,3,0,0,0
04 Jan 2025,2,0,0,0
05 Jan 2025,7,0,0,0
06 Jan 2025,2,0,0,0
07 Jan 2025,4,0,0,0
08 Jan 2025,2,0,0,0
09 Jan 2025,2,0,0,0
10 Jan 2025,3,0,0,0
11 Jan 2025,3,0,0,0
12 Jan 2025,3,0,0,0
13 Jan 2025,7,1,1,0
14 Jan 2025,12,0,0,0
15 Jan 2025,5,0,0,0
16 Jan 2025,10,1,1,0
17 Jan 2025,10,0,0,0
18 Jan 2025,8,0,0,0
19 Jan 2025,14,0,0,0
20 Jan 2025,11,0,0,0
21 Jan 2025,17,0,0,0
22 Jan 2025,9,0,0,0
23 Jan 2025,7,0,0,0
24 Jan 2025,16,0,0,0
25 Jan 2025,24,2,2,1
26 Jan 2025,33,3,3,2
27 Jan 2025,13,0,0,0
28 Jan 2025,2,0,0,0
29 Jan 2025,2,0,0,0
30 Jan 2025,9,0,0,0
31 Jan 2025,5,0,0,0
01 Feb 2025,2,0,0,0
02 Feb 2025,3,0,0,0
03 Feb 2025,5,1,1,0
04 Feb 2025,3,0,0,0
05 Feb 2025,4,0,0,0
06 Feb 2025,2,0,0,0
07 Feb 2025,4,0,0,0
08 Feb 2025,11,0,0,0
09 Feb 2025,10,0,0,0
10 Feb 2025,6,0,0,0
11 Feb 2025,4,0,0,0
12 Feb 2025,2,0,0,0
13 Feb 2025,2,0,0,0
14 Feb 2025,6,0,0,0
15 Feb 2025,0,0,0,0
16 Feb 2025,2,0,0,0
17 Feb 2025,6,0,0,0
18 Feb 2025,5,0,0,0
19 Feb 2025,5,0,0,0
20 Feb 2025,7,0,0,0
21 Feb 2025,10,0,0,0
22 Feb 2025,5,0,0,0
23 Feb 2025,2,0,0,0
24 Feb 2025,2,0,0,0
25 Feb 2025,12,1,1,0
26 Feb 2025,13,0,0,0
27 Feb 2025,8,0,0,0
28 Feb 2025,7,0,0,0
01 Mar 2025,5,0,0,0
02 Mar 2025,27,0,0,0
03 Mar 2025,26,0,0,0
04 Mar 2025,7,0,0,0
05 Mar 2025,7,0,0,0
06 Mar 2025,16,2,2,0
07 Mar 2025,14,0,0,0
08 Mar 2025,6,0,0,0
09 Mar 2025,9,0,0,0
10 Mar 2025,9,0,0,0
11 Mar 2025,13,0,0,0
12 Mar 2025,9,1,1,1
13 Mar 2025,9,1,1,0
14 Mar 2025,31,2,2,0
15 Mar 2025,16,0,0,0
16 Mar 2025,5,0,0,0
17 Mar 2025,10,0,0,0
18 Mar 2025,16,0,0,0
19 Mar 2025,22,0,0,0
20 Mar 2025,8,0,0,0
21 Mar 2025,13,0,0,0
22 Mar 2025,3,0,0,0
23 Mar 2025,4,0,0,0
24 Mar 2025,9,0,0,0
25 Mar 2025,2,0,0,0
26 Mar 2025,5,0,0,0
27 Mar 2025,9,1,1,1
28 Mar 2025,4,0,0,0
29 Mar 2025,5,0,0,0
30 Mar 2025,27,0,0,0
31 Mar 2025,38,2,2,1
01 Apr 2025,70,4,4,1
02 Apr 2025,36,2,2,0
03 Apr 2025,22,1,1,0
04 Apr 2025,21,1,0,0
